rev_eta,rev_p,X,new_chi,phi
0.1111111111111111,0.025,0.01,0.6243376429869201,0.2868274122351385
0.1111111111111111,0.025,0.01,0.7323965956517463,0.4114524434284132
0.058823529411764705,1.0,0.01,0.27257852872636334,0.014245043837567794
0.058823529411764705,1.0,0.01,0.3806374813911895,0.014753096475233197
0.058823529411764705,1.0,0.01,0.5024875621890548,0.015314765896275827
0.058823529411764705,1.0,0.01,0.6243376429869201,0.015937093441285438
0.058823529411764705,1.0,0.01,0.7323965956517463,0.016627557956004336
0.058823529411764705,1.0,0.01,0.9528100764402322,0.02020407792810535
0.058823529411764705,0.5,0.01,0.27257852872636334,0.017911237182522827
0.058823529411764705,0.5,0.01,0.3806374813911895,0.018784200020837735
0.058823529411764705,0.5,0.01,0.5024875621890548,0.019793536608361178
0.058823529411764705,0.5,0.01,0.6243376429869201,0.02096774133870345
0.058823529411764705,0.5,0.01,0.7323965956517463,0.022339311564594865
0.058823529411764705,0.5,0.01,0.9528100764402322,0.03032181765329211
0.058823529411764705,0.2,0.01,0.27257852872636334,0.026008231708630727
0.058823529411764705,0.2,0.01,0.3806374813911895,0.028613985739043467
0.058823529411764705,0.2,0.01,0.5024875621890548,0.03207818766732092
0.058823529411764705,0.2,0.01,0.6243376429869201,0.03672132375825993
0.058823529411764705,0.2,0.01,0.7323965956517463,0.04286573334594284
0.058823529411764705,0.2,0.01,0.9528100764402322,0.07788050337005804
0.058823529411764705,0.1,0.01,0.27257852872636334,0.029743447426162847
0.058823529411764705,0.1,0.01,0.3806374813911895,0.03571425762631864
0.058823529411764705,0.1,0.01,0.5024875621890548,0.04788006032032566
0.058823529411764705,0.1,0.01,0.6243376429869201,0.0677350345141511
0.058823529411764705,0.1,0.01,0.7323965956517463,0.09148902606326013
0.058823529411764705,0.1,0.01,0.9528100764402322,0.17754581244422363
0.058823529411764705,0.05,0.01,0.27257852872636334,0.029874867040608717
0.058823529411764705,0.05,0.01,0.3806374813911895,0.036846218049149004
0.058823529411764705,0.05,0.01,0.5024875621890548,0.06443676486294543
0.058823529411764705,0.05,0.01,0.6243376429869201,0.14160809148107426
0.058823529411764705,0.05,0.01,0.7323965956517463,0.21316493808440465
0.058823529411764705,0.05,0.01,0.9528100764402322,0.38171659539984687
0.058823529411764705,0.025,0.01,0.27257852872636334,0.02962352345798256
